seller-sku	fulfillment-channel-sku	asin	condition-type	Warehouse-Condition-code	Quantity Available
10003	X001CJXNRL	B00KVN8CLA	UsedAcceptable	SELLABLE	0
0S-CCUL-VFK3	X000Y9JO7X	B00OP5SAAI	UsedGood	SELLABLE	0
0Z-YFP8-YP75	X000ZA5XTT	B0000AR7SY	UsedGood	SELLABLE	0
10007	X001CLS397	B00004RC6S	UsedAcceptable	SELLABLE	0
04-NR2Q-27TH	X000ZDPXNH	B00AZY3TFE	UsedAcceptable	SELLABLE	0
10058	X001CFZI4B	B005F55EUQ	UsedAcceptable	SELLABLE	0
10076	X001CIOQEV	B00375MLSY	UsedGood	SELLABLE	0
04-VBTM-25SS	X000Y42V41	B0067MQM48	UsedGood	SELLABLE	0
10064	X001CP7TED	B0091YYUAM	UsedGood	SELLABLE	0
10097	X001CP0X1J	B006LXOJC0	UsedGood	SELLABLE	0
10041	X001COWW87	B0091YYUAM	UsedGood	SELLABLE	0
10099	X001CPVM23	B00LU2HZMS	UsedGood	SELLABLE	0
10017	X001CCTTI5	B01I5YCHNA	UsedGood	SELLABLE	0
04-Z4XQ-2602	X000Y9JQE9	B00KY35W3I	UsedGood	SELLABLE	0
10015	X001CCTTHV	B000E3ZF76	UsedGood	SELLABLE	0
10095	X001CJXNRB	B006LXOJC0	UsedAcceptable	SELLABLE	0
0W-WX7D-F1RQ	X000YG9DGD	B00UOBH2V0	UsedGood	SELLABLE	0
0B-FN78-5EZ4	X001JJ16DH	140379507X	UsedAcceptable	SELLABLE	0
10029	X001CJY4SX	B007K9OIMU	UsedGood	SELLABLE	0
10022	X001CJ8CT5	B011TRLWH2	UsedAcceptable	SELLABLE	0
0S-W6C0-VHC1	X000ZCJS0R	B00KM4BEPY	UsedGood	SELLABLE	0
10235	X001CRVJAL	B00I9YFXSS	UsedAcceptable	SELLABLE	0
10332	X001CR3LMF	B004S52NRG	UsedGood	SELLABLE	0
10327	X001CQB6YV	B00AQ9NIO0	UsedGood	SELLABLE	0
10306	X001CP1O03	B01FN0XGRU	UsedAcceptable	SELLABLE	0
10162	X001CRW7A7	B01G7CE334	UsedGood	SELLABLE	0
10142	X001CR59RP	B00AZBIXHG	UsedGood	SELLABLE	0
10244	X001CQBOJX	B00G00BTEA	UsedAcceptable	SELLABLE	0
10288	X001CQ2AMN	B006LXOJC0	UsedGood	SELLABLE	0
10257	X001CRW6NZ	B00KR5UJP4	UsedAcceptable	SELLABLE	0
10286	X001CR3LMP	B005083ECS	UsedAcceptable	SELLABLE	0
10175	X001CR2L7V	B01AJJ1WNA	UsedAcceptable	SELLABLE	0
10189	X001CVVG4L	B00EAI31C2	UsedGood	SELLABLE	0
10236	X001CS6RED	B00376WU2U	UsedAcceptable	SELLABLE	0
10307	X001CVV88F	B00T31O22Y	UsedAcceptable	SELLABLE	0
10200	X001CP521P	B01CY9LRHY	UsedGood	SELLABLE	0
10278	X001CVM5MX	B0044XDA3S	UsedGood	SELLABLE	0
10296	X001CS8JGR	B004T6EJS0	UsedGood	SELLABLE	0
10287	X001CS6XID	B005083ECS	UsedGood	SELLABLE	0
10277	X001CVUN6N	B00KMSLHDY	UsedAcceptable	SELLABLE	0
10313	X001CS8JH1	B0058VCYUU	UsedGood	SELLABLE	0
10148	X001CQQJ4D	B00TSO2FW0	UsedAcceptable	SELLABLE	0
10280	X001CVULSX	B018UQ56IG	UsedAcceptable	SELLABLE	0
10325	X001CP8AWN	B0072LGSP6	UsedAcceptable	SELLABLE	0
10203	X001CR4FGV	B000TYBWJ0	UsedGood	SELLABLE	0
10146	X001CVORY7	B016J1ICDU	UsedAcceptable	SELLABLE	0
10164	X001CR4FH5	B00B65J5OK	UsedGood	SELLABLE	0
10165	X001CP1NM7	B016TZF3JW	UsedAcceptable	SELLABLE	0
10166	X001CQ202D	B0037ZG3DS	UsedGood	SELLABLE	0
10222	X001CP8B7R	B01EZAOHOA	UsedAcceptable	SELLABLE	0
10229	X001CQER0B	B0034JU9T6	UsedAcceptable	SELLABLE	0
10192	X001CQPF07	B017TZ9SME	UsedAcceptable	SELLABLE	0
10241	X001COODCZ	B00PSQ4X2W	UsedAcceptable	SELLABLE	0
10205	X001CY1G75	B01I74SMAA	UsedGood	SELLABLE	0
10274	X001CRVJ9R	B001A5NFQA	UsedAcceptable	SELLABLE	0
10170	X001CPZMQF	B012CG8N26	UsedAcceptable	SELLABLE	0
10193	X001CQ2AOV	B019FFH54E	UsedGood	SELLABLE	0
10232	X001CR2UY5	B004KSRJXY	UsedAcceptable	SELLABLE	0
10301	X001CQ2AOL	B007K9OIMU	UsedGood	SELLABLE	0
10303	X001CR2L5X	B007K9OIMU	UsedAcceptable	SELLABLE	0
10328	X001CQFTNZ	B00UL3JPC0	UsedGood	SELLABLE	0
10231	X001CQPF5R	B00CH9QWOU	UsedAcceptable	SELLABLE	0
10172	X001CQQJ2F	B00LHRH40Y	UsedAcceptable	SELLABLE	0
10183	X001CQAUHF	B00SSBL0NE	UsedGood	SELLABLE	0
10217	X001CQFBKV	B01C464ZCQ	UsedGood	SELLABLE	0
10243	X001CP5KF3	B00TKXD0CS	UsedAcceptable	SELLABLE	0
10150	X001CS1J9V	B0094B94BM	UsedAcceptable	SELLABLE	0
10185	X001CR3GK7	B001E75OSG	UsedAcceptable	SELLABLE	0
10191	X001CPN3CP	B017TZ9SME	UsedAcceptable	SELLABLE	0
10197	X001CVV81R	B006LXOJC0	UsedGood	SELLABLE	0
10168	X001CP1KHZ	B006LXOJC0	UsedGood	SELLABLE	0
10211	X001CQFBLF	B000QBFFU8	UsedAcceptable	SELLABLE	0
10334	X001CR2L71	B002G51BZU	UsedGood	SELLABLE	0
10276	X001CRW5IL	B00KMSLHDY	UsedGood	SELLABLE	0
10228	X001CQEEIV	B001P88U12	UsedAcceptable	SELLABLE	0
10242	X001CQ2EJ7	B00AZBIXHG	UsedAcceptable	SELLABLE	0
10304	X001CQ2QQD	B000JQM1DE	UsedAcceptable	SELLABLE	0
10207	X001CPESQ5	B004T6EJS0	UsedAcceptable	SELLABLE	0
10238	X001CQV9PH	B00MLASYBO	UsedAcceptable	SELLABLE	0
10221	X001CQSPNL	B00MN28RJE	UsedAcceptable	SELLABLE	0
10137	X001CR1AIR	B0091YYUAM	UsedAcceptable	SELLABLE	0
10237	X001CR3KWV	B01FQR5QLO	UsedAcceptable	SELLABLE	0
10324	X001CVVOHZ	B004FO9P8U	UsedGood	SELLABLE	0
10199	X001CQEWN3	B00SSBKZYY	UsedAcceptable	SELLABLE	0
10310	X001CVVOI9	B00OUT9I00	UsedGood	SELLABLE	0
10321	X001COMX6D	B002QG0RRC	UsedAcceptable	SELLABLE	0
10141	X001CW12C1	B00V9LJF78	UsedAcceptable	SELLABLE	0
10182	X001COOD7Z	B00VAG84HY	UsedAcceptable	SELLABLE	0
10190	X001CQK3MR	B00AQ9NIO0	UsedAcceptable	SELLABLE	0
10151	X001CRYYKD	B018UQ5VEK	UsedGood	SELLABLE	0
10265	X001CQAT3P	B005S4N3UC	UsedAcceptable	SELLABLE	0
10248	X001CRIASZ	B00JFN2V64	UsedGood	SELLABLE	0
10147	X001CVLHR7	B0043095WW	UsedAcceptable	SELLABLE	0
10331	X001CR1AJV	B0070YQOTU	UsedAcceptable	SELLABLE	0
10273	X001CRRSCJ	B00DI342IW	UsedAcceptable	SELLABLE	0
10250	X001CQ2AXR	B01J664VTE	UsedAcceptable	SELLABLE	0
10298	X001CRYYK3	B015H8PUWM	UsedAcceptable	SELLABLE	0
10317	X001CRW5R7	B001F5SQ9G	UsedAcceptable	SELLABLE	0
10202	X001CRJ3RH	B0000Z6JJG	UsedAcceptable	SELLABLE	0
10216	X001CQFTS5	B001G8Y2WW	UsedGood	SELLABLE	0
10294	X001CRTMGJ	B009FT54CQ	UsedGood	SELLABLE	0
10305	X001CPO7VL	B003R28HWQ	UsedAcceptable	SELLABLE	0
10173	X001CQEJYZ	B01E0472TI	UsedAcceptable	SELLABLE	0
10174	X001CQRNBL	B00K8OKWI8	UsedGood	SELLABLE	0
10209	X001CQ2HQR	B004RCNJA0	UsedAcceptable	SELLABLE	0
10149	X001CQBZAV	B01FN0XFHQ	UsedAcceptable	SELLABLE	0
10163	X001COW8CH	B00IOEFBKS	UsedAcceptable	SELLABLE	0
10180	X001CQA81N	B01E0472TI	UsedAcceptable	SELLABLE	0
10282	X001CQBQHN	B00SK5IXPQ	UsedAcceptable	SELLABLE	0
10284	X001CQCW99	B000MLPE7G	UsedGood	SELLABLE	0
10279	X001CVNCC5	B0044XDA3S	UsedAcceptable	SELLABLE	0
10253	X001CPN9LF	B00EXLOW38	UsedGood	SELLABLE	0
10283	X001CQRZJV	B017TZ9SME	UsedAcceptable	SELLABLE	0
1020	X00104UTRP	B003R28HWQ	UsedGood	SELLABLE	0
10181	X001CP1RSR	B0000224KF	UsedAcceptable	SELLABLE	0
10318	X001CQBZBZ	B00VGGVQCI	UsedAcceptable	SELLABLE	0
10308	X001CQRUQT	B00VGGVQCI	UsedAcceptable	SELLABLE	0
10198	X001CP8B63	B00006IV0Q	UsedAcceptable	SELLABLE	0
10201	X001CR2O0P	B01IEZGBW8	UsedGood	SELLABLE	0
10213	X001CRRROX	B018UQ5VEK	UsedAcceptable	SELLABLE	0
10312	X001CQT4SL	B002R686FQ	UsedAcceptable	SELLABLE	0
10372	X001CS6XPL	B0052EK78O	UsedAcceptable	SELLABLE	0
10507	X001CXSN4F	B008DBRFBK	UsedGood	SELLABLE	0
10390	X001CQJAWL	B00BN5ZOQQ	UsedAcceptable	SELLABLE	0
10382	X001CR3GKH	B00EAI31C2	UsedAcceptable	SELLABLE	0
10451	X001CZ1HO1	B008DBRFBK	UsedGood	SELLABLE	0
10436	X001CP83U7	B008OV4FD0	UsedAcceptable	SELLABLE	0
10444	X001CQFBUB	B003XOZN7A	UsedAcceptable	SELLABLE	0
10388	X001CQFBLZ	B0106RV5JG	UsedGood	SELLABLE	0
10450	X001CXSNEF	B00AJMZE14	UsedGood	SELLABLE	0
10393	X001CSEFQF	B006LXOJC0	UsedAcceptable	SELLABLE	0
10397	X001CRTMMD	B010FZDG82	UsedGood	SELLABLE	0
10468	X001CZYCFR	B0013O6JAW	UsedGood	SELLABLE	0
10342	X001CQU72N	B00EPH63K0	UsedAcceptable	SELLABLE	0
10418	X001CQVR4P	B00XHXN54K	UsedGood	SELLABLE	0
10424	X001CQ25UZ	B01E0472TI	UsedGood	SELLABLE	0
10488	X001CXTDW1	B00EJQQP46	UsedAcceptable	SELLABLE	0
10495	X001D5WFFP	B005MMN75G	UsedAcceptable	SELLABLE	0
10520	X001D2G4WX	B00VGGVQCI	UsedAcceptable	SELLABLE	0
10431	X001CR4FGB	B001AQEQNA	UsedGood	SELLABLE	0
10501	X001D2FVUJ	B005GM15HE	UsedAcceptable	SELLABLE	0
10389	X001CRI21F	B0018ZHHS4	UsedAcceptable	SELLABLE	0
10493	X001D8WPGV	B0000AR7SY	UsedAcceptable	SELLABLE	0
10370	X001CQR4VZ	B0043095WW	UsedGood	SELLABLE	0
10417	X001CPGU0R	B003IT5F14	UsedGood	SELLABLE	0
10449	X001CXZX1V	B00MVSRIDG	UsedAcceptable	SELLABLE	0
10522	X001CXSSN1	B01KA7VW40	UsedGood	SELLABLE	0
10384	X001CQRUPF	B00MVWGQX0	UsedAcceptable	SELLABLE	0
10498	X001D3R5DJ	B00AZBIV9Q	UsedGood	SELLABLE	0
10465	X001CZ10ED	B00005YXC0	UsedAcceptable	SELLABLE	0
10440	X001CQAKT3	B00G00BT72	UsedAcceptable	SELLABLE	0
10363	X001CVV8RB	B003AIKQZ8	UsedAcceptable	SELLABLE	0
10515	X001CWG9LP	B01C464ZCQ	UsedAcceptable	SELLABLE	0
10486	X001D2FCMB	B00007J5U7	UsedGood	SELLABLE	0
10412	X001CRWYJB	B00305H9U6	UsedAcceptable	SELLABLE	0
10364	X001CVV8RL	B003AIKQZ8	UsedAcceptable	SELLABLE	0
10416	X001CP95OP	B00IOEFBKS	UsedGood	SELLABLE	0
10497	X001D41L4R	B00P8E0QMA	UsedGood	SELLABLE	0
10401	X001CPZMQP	B00FWOHJFS	UsedAcceptable	SELLABLE	0
10462	X001CZYMOX	B00JJ6L6PY	UsedGood	SELLABLE	0
1036	X0012VO8BJ	B00N5S8MUO	UsedGood	SELLABLE	0
10395	X001CPESFL	B002FQJW4W	UsedAcceptable	SELLABLE	0
10350	X001CS16ZD	B00F8FLB3W	UsedGood	SELLABLE	0
10391	X001CZ107Z	B002SY5HMM	UsedAcceptable	SELLABLE	0
10487	X001CXS15B	B00AZY3TFE	UsedAcceptable	SELLABLE	0
10422	X001CQ03QN	B006LXOJC0	UsedAcceptable	SELLABLE	0
10336	X001CQ25WN	B001CFRF7I	UsedGood	SELLABLE	0
10504	X001CY9X9X	B01DEWZUJQ	UsedAcceptable	SELLABLE	0
10479	X001CZ1HOB	B0090WOCN0	UsedGood	SELLABLE	0
10472	X001D42VFP	B0060EUA32	UsedAcceptable	SELLABLE	0
10491	X001CXTDWL	B018UQ5AMS	UsedGood	SELLABLE	0
